{'step': 68, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 69, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 70, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 71, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 72, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 73, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 74, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 75, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 76, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 77, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 78, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 79, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 80, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 81, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 82, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 83, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 84, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 85, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 86, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 87, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 88, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 89, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 90, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 91, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 92, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 93, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 94, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 95, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 96, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 97, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 98, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 99, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 100, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 101, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 102, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 103, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 104, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 105, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 106, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 107, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 108, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 109, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 110, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 111, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 112, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 113, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 114, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 115, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 116, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 117, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 118, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 119, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 120, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 121, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 122, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 123, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 124, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 125, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 126, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 127, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 128, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 129, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 130, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 131, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 132, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 133, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 134, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 135, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 136, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 137, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 138, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 139, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 140, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 141, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 142, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 143, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 144, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 145, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 146, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 147, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 148, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 149, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 150, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 151, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 152, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 153, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 154, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 155, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 156, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 157, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 158, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 159, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 160, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 161, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 162, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 163, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 164, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 165, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 166, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
